"Timestamp","Do you have a library card?","About how many times a year do you visit a public library?","About how many items per year does your household check out from a public library?","Of the above, about how many are speculative fiction (sci-fi, fantasy, horror, alternate history, and similar)?","Do you like to read any of the following (mark all that apply)?","What is your preference for print versus electronic books?","When choosing a book to read, how important are the following factors? [High rating online (e.g. on Goodreads or Amazon)]","When choosing a book to read, how important are the following factors? [I recognize the author.]","When choosing a book to read, how important are the following factors? [It is the first book in a series.]","When choosing a book to read, how important are the following factors? [I am a big fan of this sub-genre.]","When choosing a book to read, how important are the following factors? [I have read other books in this series.]","When choosing a book to read, how important are the following factors? [The library has several other books in this series.]","When choosing a book to read, how important are the following factors? [This book ties in with or is related to a movie or TV show that I like. ]","When choosing a book to read, how important are the following factors? [The book is on the ""new books"" shelf or has a ""new"" sticker.]","When choosing a book to read, how important are the following factors? [I read a review of this book.]","When choosing a book to read, how important are the following factors? [I've heard this book is a ""classic"".]","When choosing a book to read, how important are the following factors? [A library employee recommended this book.]","When choosing a book to read, how important are the following factors? [This book won a reward.]","When choosing a book to read, how important are the following factors? [Other (please write in below)]","If you filled in anything for ""other"" above, what did you have in mind?","Do any of the following describe you? (mark all that apply)","What is your age?","What is the highest level of education you have completed?","What is your gender?","How many people live in your household?","What is your annual household income?","What is your zip code?"
"2018/05/15 10:51:38 AM MDT","Yes","21 or more times per year","More than fifty items","One or fewer items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","2","Not Very Important","Very Important","Not Very Important","Not Very Important","Moderately Important","Not Very Important","Not At All Important","Not Very Important","Very Important","Moderately Important","Moderately Important","Very Important","Not At All Important","Recommended by respected friend. Appears on lists that I respect.","Public Librarian","55-64","Masters Degree and/or professional license","Female","2-3","Don't know or prefer not to say","90039"
"2018/05/15 7:45:24 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Short Fiction;Audiobooks","4","Not At All Important","Moderately Important","Very Important","Moderately Important","Not Very Important","Very Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Moderately Important","Not At All Important","Moderately Important","That the description sounds good","","Under 12","6th grade or lower","Prefer not to say","2-3","Don't know or prefer not to say",""
"2018/05/19 3:58:17 PM MDT","Yes","21 or more times per year","More than fifty items","2-5 items","Young Adult Novels;Adult Novels","1","Not At All Important","Moderately Important","Not Very Important","Not At All Important","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Moderately Important","Moderately Important","Very Important","Moderately Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Female","2-3","Don't know or prefer not to say","91205"
"2018/05/23 10:22:27 AM MDT","Yes","4-10 times per year","2-5 items","2-5 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","2","Moderately Important","Not Very Important","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Not Very Important","Not Very Important","Not Very Important","Very Important","Moderately Important","Not Very Important","","","Humanities Scholar or Academic Librarian","18-24","Bachelors degree","Female","2-3","Under $20,000","32533"
"2018/05/23 10:52:17 AM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Audiobooks","2","Not Very Important","Not At All Important","Moderately Important","Very Important","Extremely Important","Moderately Important","Not At All Important","Not Very Important","Not At All Important","Very Important","Not Very Important","Not At All Important","","","","12-17","Some junior high or high school","Female","4-6","Don't know or prefer not to say","19808"
"2018/05/23 11:26:42 AM MDT","Yes","11-20 times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction","7","Extremely Important","Extremely Important","Not Very Important","Extremely Important","Very Important","Very Important","Not At All Important","Very Important","Very Important","Not Very Important","Very Important","Very Important","Extremely Important","availability at library","","35-54","Masters Degree and/or professional license","Male","4-6","$250,001 to $500,000","43074"
"2018/05/23 11:35:24 AM MDT","Yes","21 or more times per year","More than fifty items","One or fewer items","Young Adult Novels","4","Not Very Important","Not At All Important","Extremely Important","Moderately Important","Extremely Important","Extremely Important","Not At All Important","Very Important","Not At All Important","Not At All Important","Moderately Important","Not At All Important","","","","25-34","High school diploma or GED","Female","2-3","Don't know or prefer not to say","11208"
"2018/05/23 11:41:05 AM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels","1","Moderately Important","Extremely Important","Extremely Important","Moderately Important","Very Important","Very Important","Not At All Important","Moderately Important","Not At All Important","Not At All Important","Moderately Important","Moderately Important","","","","12-17","High school diploma or GED","Female","4-6","Under $20,000",""
"2018/05/23 11:44:38 AM MDT","Yes","4-10 times per year","6-20 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","3","Moderately Important","Moderately Important","Very Important","Not Very Important","Extremely Important","Very Important","Moderately Important","Not Very Important","Not Very Important","Not At All Important","Not At All Important","Not At All Important","","","","12-17","Some junior high or high school","Female","4-6","Don't know or prefer not to say",""
"2018/05/23 11:53:57 AM MDT","Yes","4-10 times per year","6-20 items","6-20 items","Young Adult Novels;Adult Novels","3","Very Important","Not Very Important","Moderately Important","Moderately Important","Extremely Important","Very Important","Not At All Important","Not At All Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","It's a group or buddy reads in one of the Goodreads groups I'm a member of.","","35-54","Masters Degree and/or professional license","Female","One","Don't know or prefer not to say","1072"
"2018/05/23 12:19:10 PM MDT","Yes","11-20 times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels","1","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Very Important","Not Very Important","Very Important","Moderately Important","Moderately Important","Extremely Important","Moderately Important","","","","18-24","High school diploma or GED","Female","2-3","$20,000 to $50,000","15001"
"2018/05/23 12:36:42 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels","3","Moderately Important","Not Very Important","Very Important","Moderately Important","Moderately Important","Moderately Important","Not Very Important","Not Very Important","Not Very Important","Not At All Important","Moderately Important","Not Very Important","Extremely Important","The cover copy, reading a page to see if I like the style, etc.","Public Librarian;Entertainment Industry Professional","55-64","Masters Degree and/or professional license","Female","One","$50,001 to $100,000","91406"
"2018/05/23 1:13:37 PM MDT","Yes","21 or more times per year","6-20 items","One or fewer items","Young Adult Novels;Adult Novels","1","Moderately Important","Very Important","Not Very Important","Moderately Important","Very Important","Very Important","Not At All Important","Moderately Important","Very Important","Not Very Important","Not At All Important","Very Important","","","","35-54","Some College","Female","4-6","$50,001 to $100,000","84020"
"2018/05/23 1:18:15 PM MDT","Yes","21 or more times per year","21-50 items","More than fifty items","Young Adult Novels;Audiobooks","1","Moderately Important","Moderately Important","Very Important","Very Important","Moderately Important","Moderately Important","Not At All Important","Not Very Important","Not Very Important","Not At All Important","Not At All Important","Not Very Important","","","","12-17","Some junior high or high school","Fluxfluid","4-6","Don't know or prefer not to say","123456"
"2018/05/23 1:41:04 PM MDT","Yes","21 or more times per year","6-20 items","6-20 items","Young Adult Novels;Adult Novels;Audiobooks","3","Moderately Important","Moderately Important","Very Important","Extremely Important","Very Important","Very Important","Not Very Important","Moderately Important","Very Important","Not Very Important","Not Very Important","Moderately Important","","","","18-24","Bachelors degree","Female","2-3","$20,000 to $50,000","20747"
"2018/05/23 1:51:49 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Short Fiction","1","Not At All Important","Not Very Important","Moderately Important","Moderately Important","Very Important","Extremely Important","Moderately Important","Moderately Important","Very Important","Not At All Important","Not Very Important","Not At All Important","","","","18-24","Some College","Female","2-3","Don't know or prefer not to say",""
"2018/05/23 1:59:59 PM MDT","Yes","21 or more times per year","More than fifty items","2-5 items","Young Adult Novels;Adult Novels;Short Fiction","1","Moderately Important","Very Important","Moderately Important","Very Important","Moderately Important","Not Very Important","","Not Very Important","Moderately Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important","The book has positive reviews by known figures on the cover","","Over 64","Masters Degree and/or professional license","Male","2-3","$50,001 to $100,000","15206"
"2018/05/23 2:02:23 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels","1","Moderately Important","Moderately Important","Not Very Important","Moderately Important","Very Important","Very Important","Not Very Important","Very Important","Moderately Important","Not Very Important","Not At All Important","Not At All Important","","","","25-34","Some College","Female","2-3","Don't know or prefer not to say","77371"
"2018/05/23 3:59:38 PM MDT","Yes","1-3 times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Audiobooks","4","Moderately Important","Very Important","Very Important","Very Important","Moderately Important","Extremely Important","Not At All Important","Moderately Important","Not Very Important","Not At All Important","Not Very Important","Not Very Important","","","","25-34","Bachelors degree","Female","2-3","Don't know or prefer not to say",""
"2018/05/23 8:47:05 PM MDT","No","Less than once per year","One or fewer items","One or fewer items","Young Adult Novels;Adult Novels;Short Fiction","3","Moderately Important","Extremely Important","Not At All Important","Moderately Important","Moderately Important","Moderately Important","Not Very Important","Not At All Important","Moderately Important","Very Important","Not At All Important","Moderately Important","","","Primary or Secondary Teacher or School Librarian","35-54","Masters Degree and/or professional license","Male","2-3","$20,000 to $50,000",""
"2018/05/23 10:22:52 PM MDT","Yes","1-3 times per year","2-5 items","2-5 items","Adult Novels;Short Fiction;Audiobooks","2","Moderately Important","Very Important","Not Very Important","Moderately Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Very Important","Moderately Important","Moderately Important","Very Important","Not Very Important","I think you mean ""This book won an award"" :)","Humanities Scholar or Academic Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","90026"
"2018/05/23 10:48:53 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","1","Moderately Important","Very Important","Very Important","Very Important","Extremely Important","Very Important","Not Very Important","Not At All Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","","","Public Librarian","35-54","Masters Degree and/or professional license","Male","More than 6","Don't know or prefer not to say","91801"
"2018/05/24 6:15:38 AM MDT","Yes","21 or more times per year","21-50 items","21-50 items","Young Adult Novels;Adult Novels","1","Moderately Important","Not Very Important","Moderately Important","Extremely Important","Very Important","Very Important","Not At All Important","Not Very Important","Not Very Important","Not At All Important","Not Very Important","Not At All Important","Very Important","The title and synopsis sound interesting; The book has been on my wishlist ","","18-24","Two year degree and/or trade apprenticeship","Female","2-3","Don't know or prefer not to say",""
"2018/05/24 6:24:43 AM MDT","Yes","1-3 times per year","One or fewer items","2-5 items","Young Adult Novels;Adult Novels","1","Not At All Important","Not At All Important","Extremely Important","Not Very Important","Moderately Important","Not At All Important","Moderately Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","","Not At All Important","","","12-17","Some junior high or high school","Female","One","Under $20,000",""
"2018/05/24 6:29:13 AM MDT","Yes","4-10 times per year","21-50 items","6-20 items","Young Adult Novels;Adult Novels","2","Very Important","Moderately Important","Moderately Important","Very Important","Very Important","Extremely Important","Not Very Important","Not At All Important","Not Very Important","Not At All Important","Very Important","Not At All Important","Not At All Important","","Humanities Scholar or Academic Librarian","25-34","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","29579"
"2018/05/24 6:40:54 AM MDT","Yes","Less than once per year","One or fewer items","One or fewer items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","3","Moderately Important","Moderately Important","Extremely Important","Moderately Important","Extremely Important","Not At All Important","Moderately Important","Not At All Important","Extremely Important","Very Important","Not Very Important","Very Important","Extremely Important","The blurb sounds interesting","","25-34","Bachelors degree","Female","2-3","$50,001 to $100,000",""
"2018/05/24 9:30:22 AM MDT","Yes","Less than once per year","21-50 items","21-50 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","1","Moderately Important","Not At All Important","Extremely Important","Moderately Important","Moderately Important","Extremely Important","Moderately Important","Moderately Important","Moderately Important","Not At All Important","Not At All Important","Not At All Important","","","","35-54","Bachelors degree","Female","One","$101,000 to $250,000","73003"
"2018/05/24 10:05:13 AM MDT","Yes","11-20 times per year","6-20 items","2-5 items","Young Adult Novels;Adult Novels;Short Fiction","2","Very Important","Moderately Important","Not Very Important","Moderately Important","Moderately Important","Not Very Important","Not At All Important","Not Very Important","Very Important","Not Very Important","Moderately Important","Moderately Important","","","","35-54","Doctorate","Female","4-6","Don't know or prefer not to say","90039"
"2018/05/24 1:12:45 PM MDT","Yes","1-3 times per year","One or fewer items","One or fewer items","Young Adult Novels;Adult Novels;Audiobooks","2","Moderately Important","Moderately Important","Extremely Important","Extremely Important","Extremely Important","Not At All Important","Extremely Important","Very Important","Extremely Important","Extremely Important","Not At All Important","Very Important","","","","12-17","Some junior high or high school","Female","2-3","Don't know or prefer not to say",""
"2018/05/24 5:19:47 PM MDT","Yes","21 or more times per year","21-50 items","2-5 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","1","Moderately Important","Moderately Important","Extremely Important","Very Important","Very Important","Moderately Important","Not At All Important","Moderately Important","Very Important","Not Very Important","Very Important","Very Important","Not At All Important","","","Over 64","Bachelors degree","Female","2-3","Don't know or prefer not to say","90031"
"2018/05/24 5:58:02 PM MDT","Yes","21 or more times per year","6-20 items","2-5 items","Young Adult Novels;Adult Novels;Short Fiction","3","Very Important","Not Very Important","Very Important","Very Important","Very Important","Very Important","Not At All Important","Not At All Important","Extremely Important","Not Very Important","Not Very Important","Moderately Important","","","","35-54","Bachelors degree","Female","4-6","$50,001 to $100,000","46033"
"2018/05/24 7:25:42 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Adult Novels;Short Fiction;Audiobooks","2","","","","","","","","","","","","","","","","35-54","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","91607"
"2018/05/24 10:24:29 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Audiobooks","2","Very Important","Not Very Important","Very Important","Very Important","Very Important","Very Important","Not At All Important","Not At All Important","Moderately Important","Not Very Important","Not Very Important","Not Very Important","","","","35-54","Bachelors degree","Female","More than 6","$20,000 to $50,000","84128"
"2018/05/25 7:45:13 AM MDT","Yes","4-10 times per year","6-20 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","4","Extremely Important","Very Important","Very Important","Very Important","Very Important","Moderately Important","Not At All Important","Not At All Important","Not Very Important","Not At All Important","Not Very Important","Not At All Important","","","","18-24","Some College","nonbinary","2-3","Under $20,000","12561"
"2018/05/26 1:10:35 PM MDT","Yes","4-10 times per year","6-20 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction","1","Very Important","Moderately Important","Not Very Important","Very Important","Very Important","Moderately Important","Not Very Important","Not Very Important","Very Important","Moderately Important","Moderately Important","Moderately Important","","","","18-24","Masters Degree and/or professional license","Female","4-6","$20,000 to $50,000",""
"2018/05/27 11:26:50 AM MDT","Yes","21 or more times per year","2-5 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction","1","Moderately Important","Very Important","Extremely Important","Very Important","Extremely Important","Extremely Important","Moderately Important","Moderately Important","Very Important","Very Important","Very Important","Very Important","","","","55-64","Bachelors degree","Female","2-3","$20,000 to $50,000","91030"
"2018/05/27 12:49:36 PM MDT","Yes","1-3 times per year","6-20 items","2-5 items","Young Adult Novels;Adult Novels;Short Fiction","5","Not At All Important","Very Important","Moderately Important","Extremely Important","Extremely Important","Extremely Important","Not At All Important","Not At All Important","Very Important","Moderately Important","Very Important","Moderately Important","","","","35-54","Bachelors degree","Male","2-3","$50,001 to $100,000","14216"
"2018/05/27 1:02:19 PM MDT","Yes","4-10 times per year","2-5 items","One or fewer items","Adult Novels","1","Moderately Important","Very Important","Not At All Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Extremely Important","Not Very Important","Not Very Important","Not Very Important","","","Entertainment Industry Professional","35-54","Bachelors degree","Female","2-3","Don't know or prefer not to say","90034"
"2018/05/30 6:42:42 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","1","Moderately Important","Moderately Important","Not At All Important","Not Very Important","Moderately Important","Not Very Important","Not At All Important","Not Very Important","Moderately Important","Very Important","Very Important","Very Important","Very Important","I check out items from the library that have been lingering on my ""to be read"" list for a long time.","Primary or Secondary Teacher or School Librarian;Professional Writer (more than half your income comes from writing)","35-54","Masters Degree and/or professional license","Female","2-3","$101,000 to $250,000","60172"
"2018/05/30 6:56:38 PM MDT","Yes","21 or more times per year","More than fifty items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction","3","Very Important","Not Very Important","Not Very Important","Moderately Important","Not At All Important","Not At All Important","Not At All Important","Not At All Important","Moderately Important","Not Very Important","Not At All Important","Not At All Important","Extremely Important","My mood is probably the most important factor in choosing my next read.","","35-54","Some College","Male","One","Don't know or prefer not to say","89103"
"2018/05/30 8:11:42 PM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels","1","Moderately Important","Not At All Important","Moderately Important","Not Very Important","Extremely Important","Very Important","Not Very Important","Not At All Important","Not At All Important","Not At All Important","Moderately Important","Not At All Important","Not At All Important","","","12-17","Some junior high or high school","Female","4-6","Don't know or prefer not to say",""
"2018/05/31 12:43:05 AM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels","3","Very Important","Not Very Important","Not Very Important","Moderately Important","Very Important","Very Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","Not Very Important","Not Very Important","","","","12-17","Some junior high or high school","Female","More than 6","Don't know or prefer not to say","0"
"2018/05/31 5:59:13 AM MDT","Yes","11-20 times per year","21-50 items","2-5 items","Young Adult Novels","1","Very Important","Moderately Important","Very Important","Very Important","Extremely Important","Very Important","Not At All Important","Not At All Important","Not Very Important","Not Very Important","Not Very Important","Not At All Important","Moderately Important","","","18-24","High school diploma or GED","Female","4-6","$50,001 to $100,000","01756"
"2018/05/31 8:15:07 AM MDT","Yes","21 or more times per year","More than fifty items","21-50 items","Young Adult Novels;Short Fiction;Audiobooks","4","Moderately Important","Not Very Important","Very Important","Not At All Important","Extremely Important","Extremely Important","Not At All Important","Extremely Important","Not At All Important","Moderately Important","Very Important","Very Important","Extremely Important","How interesting the summary is.","Public Librarian;Primary or Secondary Teacher or School Librarian","12-17","6th grade or lower","Female","4-6","Don't know or prefer not to say",""
"2018/05/31 9:50:11 AM MDT","Yes","4-10 times per year","6-20 items","6-20 items","Young Adult Novels;Adult Novels;Short Fiction;Audiobooks","2","Moderately Important","Not At All Important","Very Important","Moderately Important","Moderately Important","Very Important","Not At All Important","Not Very Important","Not Very Important","Not Very Important","Moderately Important","Not At All Important","","","","25-34","Two year degree and/or trade apprenticeship","Male","2-3","$50,001 to $100,000","91761"
"2018/06/01 4:15:09 PM MDT","Yes","21 or more times per year","More than fifty items","More than fifty items","Young Adult Novels;Adult Novels;Audiobooks","4","Moderately Important","Moderately Important","Moderately Important","Very Important","Moderately Important","Not Very Important","Moderately Important","Not Very Important","Moderately Important","Not Very Important","Not Very Important","Not At All Important","","","Primary or Secondary Teacher or School Librarian;Humanities Scholar or Academic Librarian","35-54","Masters Degree and/or professional license","Female","2-3","$50,001 to $100,000","90026"
"2018/06/02 4:50:54 PM MDT","Yes","11-20 times per year","21-50 items","6-20 items","Adult Novels;Short Fiction","1","Very Important","Very Important","Very Important","Moderately Important","Moderately Important","Moderately Important","Not Very Important","Not At All Important","Not Very Important","Very Important","Very Important","Not At All Important","","","","12-17","Some junior high or high school","Female","4-6","Don't know or prefer not to say",""
